name,bat86,hits86,hRuns86,runs86,Runbat86
Joe_Carter,663,200,29,108,121
Jose_Canseco,600,144,33,85,117
Dave_Parker,637,174,31,89,116
Don_Mattingly,677,238,31,117,113
Jim_Rice,618,200,20,98,110
George_Bell,641,198,31,101,108
Gary_Gaetti,596,171,34,91,108
Jesse_Barfield,589,170,40,107,108
Jim_Presley,616,163,27,83,107
Gary_Carter,490,125,24,81,105
Dave_Winfield,565,148,24,90,104
Bill_Buckner,629,168,18,73,102
Glenn_Davis,574,152,31,91,101
Wally_Joyner,593,172,22,82,100
Von_Hayes,610,186,19,107,98
Dwight_Evans,529,137,26,86,97
Doug_DeCinces,512,131,26,69,96
Danny_Tartabull,511,138,25,76,96
Kevin_McReynolds,560,161,26,89,96
Kirby_Puckett,680,223,31,119,96
Brian_Downing,513,137,20,90,95
Don_Baylor,585,139,31,93,94
Dave_Kingman,561,118,35,70,94
Larry_Parrish,464,128,28,67,94
Darryl_Strawberry,475,123,27,76,93
Kent_Hrbek,550,147,29,85,91
Pete_O'Brien,551,160,23,86,90
Harold_Baines,570,169,21,72,88
Jim_Morrison,537,147,23,58,88
Pete_Incaviglia,540,135,30,82,88
Steve_Balboni,512,117,29,54,88
Bob_Horner,517,141,27,70,87
Darnell_Coles,521,142,20,67,86
Kirk_Gibson,441,118,28,84,86
Lloyd_Moseby,589,149,21,89,86
Rob_Deer,466,108,33,75,86
Candy_Maldonado,405,102,18,49,85
Darrell_Evans,507,122,29,78,85
Eddie_Murray,495,151,17,61,84
Frank_White,566,154,22,76,84
Glenn_Wilson,584,158,15,70,84
Dale_Murphy,614,163,29,89,83
Keith_Hernandez,551,171,13,94,83
Cal_Ripken,627,177,25,98,81
Steve_Garvey,557,142,21,58,81
Brook_Jacoby,583,168,17,83,80
Kevin_Bass,591,184,20,83,79
Keith_Moreland,586,159,12,72,79
Andre_Dawson,496,141,20,65,78
Johnny_Ray,579,174,7,67,78
Juan_Samuel,591,157,16,90,78
Mike_Easler,490,148,14,64,78
